URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris; Dua Lipa,1,1,79,False,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
2YlZnw2ikdb837oKMKjBkW,Title (Deluxe),Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor; John Legend,1,6,79,False,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,225053,3
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child,Don't You Worry Child - Radio Edit,Swedish House Mafia; John Martin,1,1,78,False,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,212862,4
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,In the Name of Love,Martin Garrix; Bebe Rexha,1,1,79,False,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,195707,4
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI; Justin Bieber,1,1,78,True,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),death bed (coffee for your head),Powfu; beabadoobee,1,1,78,False,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4
2qOm7ukLyHUXWyR4ZWLwxA,The Predator,It Was A Good Day,Ice Cube,1,7,78,True,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,260000,4
2iuZJX9X9P0GKaE93xcPjk,V,Sugar,Maroon 5,1,5,78,True,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,4
1ZMiCix7XSAbfAJlEZWMCp,Fine Line,Falling,Harry Styles,1,6,79,False,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4
2P4OICZRVAQcYAV2JReRfj,Stories,Waiting For Love,Avicii,1,1,78,False,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,230613,4
